,linseed,sesame,soybean,barley,lentil,sorghum,mustard,chickpea,watermelon,maize,groundnut,pumpkin,cucumber,wheat,rice
linseed,1.0,0.7,0.75,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.7
sesame,0.7,1.0,0.75,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.7
soybean,0.7,0.7,1.0,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.7
barley,0.7,0.7,0.85,1.0,0.85,0.7,0.75,0.85,0.7,0.6,0.75,0.7,0.7,0.6,0.6
lentil,0.7,0.7,0.75,0.7,1.0,0.7,0.75,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.7
sorghum,0.7,0.7,0.85,0.7,0.85,1.0,0.75,0.85,0.7,0.7,0.75,0.7,0.7,0.7,0.7
mustard,0.7,0.7,0.75,0.7,0.7,0.7,1.0,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.7
chickpea,0.7,0.7,0.75,0.7,0.7,0.7,0.75,1.0,0.7,0.7,0.75,0.7,0.7,0.7,0.7
watermelon,0.7,0.7,0.75,0.7,0.7,0.7,0.75,0.7,1.0,0.7,0.75,0.7,0.7,0.7,0.7
maize,0.7,0.7,0.85,0.6,0.85,0.7,0.75,0.85,0.7,1.0,0.75,0.7,0.7,0.6,0.6
groundnut,0.7,0.7,0.75,0.7,0.7,0.7,0.75,0.7,0.7,0.7,1.0,0.7,0.7,0.7,0.7
pumpkin,0.7,0.7,0.75,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.75,1.0,0.7,0.7,0.7
cucumber,0.7,0.7,0.75,0.7,0.7,0.7,0.75,0.7,0.7,0.7,0.75,0.7,1.0,0.7,0.7
wheat,0.7,0.7,0.85,0.6,0.85,0.7,0.75,0.85,0.7,0.6,0.75,0.7,0.7,1.0,0.6
rice,0.7,0.7,0.85,0.6,0.85,0.7,0.75,0.85,0.7,0.6,0.75,0.7,0.7,0.6,1.0
