crop,N_mean,N_std,P_mean,P_std,K_mean,K_std,temperature_mean,temperature_std,humidity_mean,humidity_std,ph_mean,ph_std,rainfall_mean,rainfall_std
apple,20.8,11.86,134.22,8.14,199.89,3.32,22.63,0.83,92.33,1.46,5.93,0.27,112.65,7.1
banana,100.23,11.11,82.01,7.69,50.05,3.38,27.38,1.43,80.36,2.81,5.98,0.27,104.63,9.4
blackgram,40.02,12.66,67.47,7.15,19.24,3.19,29.97,2.69,65.12,2.8,7.13,0.37,67.88,4.18
chickpea,40.09,12.15,67.79,7.5,79.92,3.26,18.87,1.17,16.86,1.71,7.34,0.8,80.06,7.94
coconut,21.98,11.76,16.93,8.36,30.59,3.0,27.41,1.39,94.84,2.69,5.98,0.29,175.69,29.47
coffee,101.2,12.35,28.74,7.28,29.94,3.25,25.54,1.5,58.87,5.84,6.79,0.42,158.07,25.7
cotton,117.77,11.63,46.24,7.35,19.56,3.17,23.99,1.14,79.84,3.05,6.91,0.63,80.4,11.23
grapes,23.18,12.47,132.53,7.62,200.11,3.27,23.85,9.74,81.88,1.18,6.03,0.3,69.61,2.95
jute,78.4,10.97,46.86,7.2,39.99,3.31,24.96,1.19,79.64,5.51,6.73,0.45,174.79,15.08
kidneybeans,20.75,10.83,67.54,7.57,20.05,3.1,20.12,2.6,21.61,2.17,5.75,0.15,105.92,26.11
lentil,18.77,12.2,68.36,7.34,19.41,2.97,24.51,3.32,64.8,2.94,6.93,0.55,45.68,5.63
maize,77.76,11.95,48.44,8.01,19.79,2.94,22.39,2.68,65.09,5.45,6.25,0.41,84.77,15.55
mango,20.07,12.33,27.18,7.66,29.92,3.1,31.21,2.65,50.16,2.76,5.77,0.7,94.7,3.34
mothbeans,21.44,11.34,48.01,7.55,20.23,3.05,28.19,2.21,53.16,6.99,6.83,1.86,51.2,13.75
mungbean,20.99,11.51,47.28,7.87,19.87,3.15,28.53,0.84,85.5,2.85,6.72,0.29,48.4,7.12
muskmelon,100.32,12.18,17.72,7.19,50.08,3.22,28.66,0.86,92.34,1.51,6.36,0.23,24.69,2.77
orange,19.58,11.94,16.55,7.69,10.01,3.06,22.77,7.34,92.17,1.43,7.02,0.58,110.47,5.72
papaya,49.88,12.22,59.05,7.06,50.04,3.1,33.72,6.26,92.4,1.42,6.74,0.15,142.63,64.4
pigeonpeas,20.73,11.85,67.73,7.29,20.29,2.82,27.74,5.72,48.06,10.96,5.79,0.83,149.46,32.99
pomegranate,18.87,12.62,18.75,7.39,40.21,3.03,21.84,2.21,90.13,2.83,6.43,0.49,107.53,2.9
rice,79.89,11.92,47.58,7.9,39.87,2.95,23.69,2.03,82.27,1.42,6.43,0.77,236.18,34.29
watermelon,99.42,12.57,17.0,7.54,50.22,3.26,25.59,0.85,85.16,2.96,6.5,0.28,50.79,5.87
