Feature,Importance
humidity,0.14944749551381906
climate_index,0.09747337799158823
rainfall_per_temp,0.09249890422922394
P,0.08032619985262072
P_to_K_ratio,0.05344777534692663
NPK_product,0.05090503688346624
K,0.05002753677321886
NPK_sum,0.04934589760824154
water_availability,0.04926958389959044
N_dominance,0.04511414222249446
temp_humidity_interaction,0.04361804223331194
N_ph_interaction,0.04212553537606419
moisture_index,0.03704030439299127
P_ph_interaction,0.03657286309225768
P_dominance,0.030931901744537447
resource_availability,0.024088796406335287
water_stress_index,0.021523807988583846
environmental_stress,0.01045005886594363
K_dominance,0.008653762278431787
ph,0.008246345686615357
N,0.00687839543866523
ph_deviation,0.004876249345300812
K_ph_interaction,0.003425942221790847
N_to_P_ratio,0.001962360114188209
temperature,0.0006804958460491389
growing_condition_index,0.0005175079514710468
ph_squared,0.00036130300488218883
N_to_K_ratio,0.00019037769138982173
rainfall,0.0
heat_stress_index,0.0
nutrient_balance,0.0
temp_category_Hot,0.0
temp_category_Moderate,0.0
humidity_category_Low,0.0
humidity_category_Medium,0.0
ph_category_Alkaline,0.0
ph_category_Neutral,0.0
rainfall_category_Low,0.0
rainfall_category_Medium,0.0
