profitability_rank,crop,commodity_group,season,data_source,price_2024,roi,profit,risk_category,risk_score
1,coconut,Oil Seeds,Rabi,agmarknet,10834.31,1676.12,511215.5,High,100.0
2,papaya,Fruits,Perennial,estimated,2400.0,990.91,327000.0,Medium,62.65134321754292
3,banana,Fruits,Perennial,estimated,2300.0,969.77,417000.0,Medium,46.98850741315719
4,grapes,Fruits,Perennial,estimated,6800.0,700.0,476000.0,Medium,41.76756214502861
5,muskmelon,Fruits,Zaid,estimated,1800.0,638.46,124500.0,Medium,62.65134321754292
6,pomegranate,Fruits,Perennial,estimated,9500.0,603.7,326000.0,Medium,58.73563426644649
7,apple,Fruits,Perennial,estimated,9000.0,603.12,386000.0,Medium,39.15708951096432
8,watermelon,Fruits,Zaid,estimated,1200.0,566.67,102000.0,Medium,62.65134321754292
9,orange,Fruits,Perennial,estimated,4000.0,458.14,197000.0,Medium,44.75095944110208
10,mango,Fruits,Perennial,estimated,5200.0,333.33,120000.0,Medium,48.72882250253338
11,pigeonpeas,Pulses,Kharif,agmarknet,7561.08,323.42,40427.56,Medium,73.65109286799539
12,coffee,Plantation Crops,Perennial,estimated,48000.0,321.05,183000.0,Medium,44.75095944110208
13,jute,Fibre Crops,Rabi,agmarknet,5290.69,306.98,39906.899999999994,Low,13.359902474546589
14,chickpea,Pulses,Rabi,agmarknet,6163.59,265.25,35808.72,Medium,45.614760357424004
15,kidneybeans,Pulses,Rabi,estimated,9200.0,249.37,39400.0,Low,25.797611913105907
16,mothbeans,Pulses,Kharif,estimated,7500.0,247.22,26700.0,Low,22.37547972055104
17,blackgram,Pulses,Rabi,agmarknet,7504.97,224.89,25974.85,Low,10.368855458819393
18,maize,Cereals,Kharif,agmarknet,2171.08,199.46,28921.6,Low,13.490819831512171
19,mungbean,Pulses,Rabi,agmarknet,7405.15,198.59,24625.75,Low,14.798089098191596
20,lentil,Pulses,Rabi,agmarknet,6147.02,197.44,24482.120000000003,Low,15.481166867502703
21,cotton,Fibre Crops,Kharif,agmarknet,7178.04,149.67,34424.32,Low,13.32954060194273
22,rice,Cereals,Kharif,agmarknet,2381.22,114.31,22861.96,Low,7.726612576336206
