Feature,Importance
rainfall,0.07859325217431251
humidity,0.0772120812443844
K,0.06493640860319312
moisture_index,0.05534694112187491
water_availability,0.054123945607008936
rainfall_per_temp,0.04949393479020416
K_ph_interaction,0.0416714583973442
P,0.041426979510439894
water_stress_index,0.04032902377983052
NPK_sum,0.038796940977352375
N,0.03727921251990971
resource_availability,0.03403547470515775
climate_index,0.031929477596598456
temp_humidity_interaction,0.031821152793481966
P_ph_interaction,0.031511708349835826
NPK_product,0.030912220617501086
P_to_K_ratio,0.02673929600473136
K_dominance,0.024419033728193366
heat_stress_index,0.023161247950495772
P_dominance,0.022864018161653843
humidity_category_Medium,0.022312251930767232
N_dominance,0.019895843068124097
N_ph_interaction,0.018257867931742573
N_to_K_ratio,0.016723639131554422
environmental_stress,0.015470927311753136
N_to_P_ratio,0.012166837365820958
temperature,0.010631736480290217
ph_deviation,0.008115701310700734
nutrient_balance,0.007747772197060292
growing_condition_index,0.007733035696359163
ph_squared,0.006880558805890484
ph,0.006624069507111719
rainfall_category_Medium,0.0036972049714811953
humidity_category_Low,0.003161935069442865
temp_category_Moderate,0.0010302435722513957
temp_category_Hot,0.0009666115844525874
rainfall_category_Low,0.0009250522669229351
ph_category_Neutral,0.0007267416360516826
ph_category_Alkaline,0.00032816152871828773
