,humidity,N,K,P,rainfall,K_ph_interaction,NPK_sum,humidity_category_Medium,water_availability,rainfall_per_temp
apple,0.011228742042679363,0.004564871426287006,0.014536698586684556,0.014524486308577176,0.007255421192128073,0.017292856629032786,0.012107669613807189,0.0015243526419078156,0.009018594119193977,0.004310301054326398
banana,0.006574434413999628,0.017308424891009238,0.009647731357776678,0.013967838494520064,0.004584547567651162,0.007921956698355702,0.022991312172841057,0.003356518874626023,0.003964949624316369,0.0021026917123729456
blackgram,0.010732231009614245,0.010736866791240338,0.008414434181075323,0.007611764665603621,0.009482575126605653,0.0037709475266716084,0.004195120155799503,0.010249418140570246,0.006714823409851147,0.010947812597765137
chickpea,0.010292633508791948,0.00345170881191648,0.01246406276667138,0.003732053561331522,0.0008239159890190847,0.012051279748057546,0.004440170285018562,0.0016213183534403844,0.004734925070822448,0.0007234420448076064
coconut,0.008171456402873348,0.00821068247180871,0.0056217149362943405,0.009493442435872343,0.00889173033332662,0.004964063703211251,0.006558013147512917,0.0039132042047549595,0.011564507219833833,0.0023990099421744636
coffee,0.019896114556739092,0.020017876455711535,0.0077346247046454234,0.007257557075728033,0.007319168821138255,0.0034818736133644863,0.0052127834133925185,0.015360218626043707,0.0039911544587295815,0.0052454497910352825
cotton,0.014084808811441047,0.015117396618200517,0.012151512000413492,0.004014259984254378,0.0031306615456000247,0.005542177414583647,0.004027602776919375,0.004604061546905616,0.0024960740652238155,0.002528607691979291
grapes,0.00891974650406713,0.004568667109688526,0.0146357303898324,0.013682884558805165,0.006627410817971031,0.02012700154674606,0.013786940841125776,0.002266604118282957,0.00857757722220746,0.004073377572789762
jute,0.009786053982725928,0.017366221484841706,0.009561915418739813,0.009043077774467665,0.009349995422778652,0.00655408445855214,0.007128583997249232,0.006740561680233955,0.010385012912304344,0.007553742962553429
kidneybeans,0.017948235158210778,0.005577427301686629,0.0073221579847536,0.0029329762595973648,0.002313520595049799,0.00527018404116415,0.0040867275294585795,0.0037182870488506247,0.005155825331064594,0.002707973571491069
lentil,0.010580983833275286,0.00698831177726735,0.006143073174144663,0.00804046180341972,0.013794125919107813,0.0028391877240016837,0.001585302071130052,0.010810806416118028,0.008594841775027595,0.0062137052717075114
maize,0.014710109685621675,0.03222909870304193,0.014965699973694456,0.005636820253338265,0.004939828798054809,0.007118485779139348,0.0035412094179229146,0.006036296189760196,0.0028221366334486788,0.004323773421540939
mango,0.02147365456881575,0.015560870886597052,0.01294901632398512,0.01169343474455093,0.00764592538160277,0.00399541923500667,0.005721782203646378,0.015055710919461679,0.006900840534082447,0.004590258898599433
mothbeans,0.020678316786686798,0.011142932106448242,0.008839416889660485,0.010714225962419562,0.009647115523816007,0.003380912139939255,0.005110003284090138,0.013836711139821828,0.0075557758641800225,0.010652011210120499
mungbean,0.024036216286908167,0.012916412427917275,0.010416125094382523,0.007486467676419017,0.013857238437525142,0.0065252816201343275,0.00729540939843508,0.017598187105802222,0.004015349899402266,0.008562305062474285
muskmelon,0.00592945282905615,0.007535211084936436,0.003562394360705097,0.0063008600219875265,0.01707190196760561,0.0031803043010342623,0.0024348077239952693,0.002602571902292114,0.007294621517754146,0.0150651696921094
orange,0.017663812048242387,0.011923976237898317,0.01926290010378273,0.01613795719644602,0.005466092513996238,0.011937486104491656,0.008447043802901453,0.006785400116990767,0.005893219670641273,0.0056174104047620145
papaya,0.019549261173464984,0.011755506454173299,0.015205458908367872,0.012990162486697076,0.003670345266635637,0.01025008639062183,0.010694547142546876,0.006971912435489184,0.003209543367273633,0.0029231232741077457
pigeonpeas,0.019157929163960682,0.02091553012600501,0.015115476049761403,0.011234482625738961,0.015455850594072718,0.006790679325964328,0.004640984368939655,0.005647279477367155,0.007307360797285717,0.016954849323836143
pomegranate,0.010351158218705471,0.012209612157857836,0.014615226752092652,0.013081017873567745,0.0058502555043367975,0.009525256597266791,0.011308604252054289,0.005444713576099487,0.005613342925285953,0.004027952372811818
rice,0.007658349584583138,0.010679760175142605,0.0058196391616654455,0.0048906641995684445,0.006462188191235734,0.00243736024766135,0.004313892146559416,0.0038396206551043134,0.008448991351033348,0.008272316250249743
watermelon,0.007294599992019498,0.017073772000978104,0.008799593868155035,0.013553210027999528,0.013893975962271559,0.005327616116378915,0.005030250617492095,0.004517670157035955,0.006469399452937587,0.008820857154526672
