Feature,Mean |SHAP|
humidity,0.012478565359271773
K,0.01246525654459359
P,0.00982100910192663
rainfall,0.00958707408166059
N,0.008927187481732187
humidity_category_Medium,0.008842687411750611
NPK_sum,0.007336200573088888
K_ph_interaction,0.006649671874343279
moisture_index,0.006565002087705173
water_availability,0.006443863055168384
rainfall_per_temp,0.005415412803344732
P_to_K_ratio,0.00501186932249777
climate_index,0.004956337814454734
N_ph_interaction,0.004650396205914694
water_stress_index,0.004617116939537889
temp_humidity_interaction,0.004566981302823618
P_ph_interaction,0.004555453549709017
resource_availability,0.00429456389330045
K_dominance,0.00386744813373196
NPK_product,0.003692782409663498
N_dominance,0.003412643351664019
heat_stress_index,0.0028378445581986604
P_dominance,0.0025389388028506854
N_to_P_ratio,0.0025178304410787954
N_to_K_ratio,0.002262291599373498
environmental_stress,0.0013852439419606056
humidity_category_Low,0.0012523251881029862
ph_deviation,0.0011632534050145201
growing_condition_index,0.0011175138385097073
temperature,0.0009617819610446373
ph_squared,0.0009125145886078116
nutrient_balance,0.0007508215281862932
ph,0.0007082119140281129
rainfall_category_Medium,0.0003180119150341201
rainfall_category_Low,0.0001789563573957616
temp_category_Hot,0.00012285279032790854
temp_category_Moderate,0.00011719992851720133
ph_category_Neutral,0.00010476618711077003
ph_category_Alkaline,3.234297242453582e-05
